Age,Sports,height 
22,-,1.55
22,Rugby,1.62
22,Krav Maga,1.65
23,Badminton ,1.71
23,-,1.78
21,Football,1.67
23,Skiing,1.75
23,-,1.72
24,-,1.84
24,Football,1.80
23,-,1.65
21,Football,1.66
25,Longboard,1.88
22,Football,1.55
22,Swimming,1.90
22,Swim,1.72
25,Tennis,1.65
21,Tennis,1.85
21,Tennis,1.73
21,Gym,1.55
23,-,1.70
22,Swimming,1.82
21,Gym,1.68
23,Martial arts,1.85
24,Muay Thai,1.74
25,Gym,1.71
23,Gym,1.81
22,Volleyball,1.70
22,Breaking,1.78
27,Gym,1.65
23,Gym,1.83
24,Gym,1.75
22,Gym,1.89
25,Football,1.73
39,Gym,1.62
26,Gym,1.89
23,Yoga,1.70
22,Figure skating,1.82
22,Climbing,1.79
22,Gym,1.60
23,Volleyball,1.78
27,-,1.58
23,Gym,1.90
25,-,1.84
22,-,1.65
22,-,1.88
22,Gym,1.75
22,Gym,1.77
21,Football,1.80
23,Judo,1.63
23,-,1.59
26,Gym,1.91
27,Gym,1.82
